text,label,notes
My indoor one just got moved outside last week. Looks like he prefers it too. Wonder if it will live through winter? Zone 8?,information_seeking,
"Give them full spectrum light, they’ll bloom just like their outdoor buddies",recommendation,
Your pots are so my style! Where are they from?!,information_seeking,
They really thrive in a lot of sun. I put mine outside until just a bit during winter. When I had it inside all the time it really suffered.,experience_sharing,
I keep mine indoors-I have it planted in a Wallygrow higher up on a south-eastern facing window and it's purple as can be! I've got several sets of flowers on it this year too-hoping to gather seed. I think they fare okay inside as long as you can get those foot candles. Lucky to be in California though! I have so many I wish I could keep outside but I'm in SWPA and summer is the only time for that unfortunately.,experience_sharing,
"What a difference. Interestingly, your inside oxalis closely resembles the oxalis I had outside briefly. He fried up from too much sun. Wish I could keep them outside like yours, the color is so vibrant.",experience_sharing,
"Mine look like regular clovers rn. How much light does yours get?

Edit: Im an idiot who cannot read, thank you for posting",information_seeking,
Does anyone have advice on having a purple oxalis in Florida? It just doesn’t seem to be thriving at all,information_seeking,
"I have an indoor oaxalis and fertilize it with flowering plant food every 3 weeks. It looks about the same as your outdoor plant, maybe a bit bigger. I got it in November.",experience_sharing,
I have to pull these and their green colored cousins out of my yard CONSTANTLY. They grow like weeds here. Literally. And they grow so fast!,experience_sharing,
"For the outside one, did it get full sun, partial, what? My indoor oxalis is leggy and I have been considering moving it outside :) thanks for your thoughts",information_seeking,
How do you slowly acclimate it?,information_seeking,
Why are mine green and have purple undersides? 🤔,information_seeking,
This is one of my favorite plants in my collection! He’s someone healthy inside. I’m in the process of ahem cough cough rearranging my entire bedroom to make more space to get more plants in better sun.,experience_sharing,
Give that left boy a growlight,recommendation,
"I had mine indoors for a while, never filled up the pot it was in, I decided to place it outdoors, like you, and it just exploded with growth and is constantly blooming now! Makes me sad I can’t have it inside, I love the purple so much! 💜",experience_sharing,
"Does anyone know how high of Temps or how much direct light an oxalis can take? Mine has been struggling indoors ever since I moved to Phoenix, but I'm scare to put it outside. Even in the shade, the Temps are still hot... And I worry shade might be less light than an indoor window.",information_seeking,
"Mine likes TONS of light, it's on the windowsill of a south facing window with about 6 hours of direct light. It's very happy and has more blooms than leaves at this point.",experience_sharing,
